"ID Seller";Seller;"ID Produto";"SKU Seller";EAN;Nome;Estoque;"Preço de";"Preço por";Status;Departamento;Categoria;Subcategoria;Match;"Histórico de validação";"Prazo expedição";"Tabela de frete"
52;"MPOZENATO ";138026498;SKU_660084757;7908816326266;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Whisky - Mpozenato";500,00;11951,12;8723,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";198587593;SKU_660084733;7908816326143;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Veludo Marrom - Mpozenato";500,00;11007,61;8035,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";622216209;SKU_660084751;7908816326235;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Branco - Mpozenato";500,00;11257,78;8217,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";655843643;SKU_660084775;7908816326358;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Veludo Vinho - Mpozenato";500,00;11007,61;8035,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";928922709;SKU_660084735;7908816326150;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Veludo Preto - Mpozenato";500,00;11007,61;8035,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";592459118;SKU_660089545;7908816344024;"Balcão Cozinha Pia 120cm com Tampo Classic P11 Branco - Mpozenato";0,00;585,51;426,90;Ativo;Móveis;Móveis;"Móveis para Cozinha";Não;;45;Normal
52;"MPOZENATO ";535853455;SKU_660084777;7908816326365;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Caramelo Brilho - Mpozenato";500,00;11600,88;8468,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";719837908;SKU_660084747;7908816326211;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Bege - Mpozenato";500,00;11257,78;8217,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";572917464;SKU_660084761;7908816326280;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Veludo Capuccino - Mpozenato";500,00;11007,61;8035,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";786324153;SKU_660089541;7908816343997;"Balcão Cozinha Pia 120cm com Tampo Classic P11 Preto/marmore - Mpozenato";13,00;585,51;426,90;Ativo;Móveis;Móveis;"Móveis para Cozinha";Não;;3;Normal
52;"MPOZENATO ";974193343;SKU_660084759;7908816326273;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Verde Musgo - Mpozenato";500,00;11951,12;8723,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";127365546;SKU_660084745;7908816326204;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Cinza - Mpozenato";500,00;11257,78;8217,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";231949007;SKU_660089543;7908816344000;"Balcão Cozinha Pia 120cm com Tampo Classic P11 Chocolate/off - Mpozenato";0,00;585,51;426,90;Ativo;Móveis;Móveis;"Móveis para Cozinha";Não;;45;Normal
52;"MPOZENATO ";307531116;SKU_660084763;7908816326297;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Veludo Verde - Mpozenato";500,00;11007,61;8035,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";399625218;SKU_660084753;7908816326242;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Marrom - Mpozenato";500,00;11257,78;8217,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";535822993;SKU_660084769;7908816326327;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Veludo Terracota - Mpozenato";500,00;11007,61;8035,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";698689651;SKU_660084755;7908816326259;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Pu Azul - Mpozenato";500,00;11257,78;8217,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";643398966;SKU_660084771;7908816326334;"Poltrona do Papai Reclinável Kalie Elevação Lift Elétrico Fh9 Veludo Cinza - Mpozenato";500,00;11007,61;8035,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";127380260;SKU_660089539;7908816344017;"Tampo para Balcão de Cozinha 120cm Classic P11 Chocolate - Mpozenato";500,00;137,07;99,90;Ativo;Móveis;Móveis;"Móveis para Cozinha";Não;;45;Normal
52;"MPOZENATO ";117211467;SKU_660084459;7908816327461;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Pu Marrom Brilho - Mpozenato";500,00;5203,60;3798,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";433027091;SKU_660084643;7908816327249;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Linho Bege - Mpozenato";500,00;4742,57;3461,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";155170066;SKU_660084641;7908816327232;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Veludo Preto - Mpozenato";500,00;4628,20;3378,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";215376311;SKU_660084653;7908816327294;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Pu Bege - Mpozenato";500,00;4878,37;3560,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";685274468;SKU_660084667;7908816327362;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Veludo Capuccino - Mpozenato";500,00;4628,20;3378,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";632969729;SKU_660084451;7908816327423;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Veludo Vermelho - Mpozenato";500,00;4628,20;3378,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";982552660;SKU_660084639;7908816327225;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Veludo Marrom - Mpozenato";500,00;4628,20;3378,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";919624778;SKU_660084661;7908816327331;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Pu Azul - Mpozenato";500,00;4878,37;3560,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";802179464;SKU_660084455;7908816327447;"Poltrona do Papai Reclinável Kalie Manual Gatilho Fh9 Pu Caramelo Brilho - Mpozenato";500,00;5203,60;3798,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";375080284;SKU_660089213;7908816342976;"Sofá 3 Lugares Sala de Estar 220cm Otto M22 Sintético Marrom - Mpozenato";500,00;5679,50;4145,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";732178118;SKU_660089211;7908816342969;"Sofá 2 Lugares Sala de Estar 190cm Otto M22 Sintético Marrom - Mpozenato";500,00;4928,28;3597,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";733974401;SKU_660089215;7908816342983;"Sofá 4 Lugares Sala de Estar 274cm Otto M22 Sintético Marrom - Mpozenato";500,00;7253,46;5294,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";541487238;SKU_660089303;7908816343775;"Sofá Ilha e Puff Sala Living 265cm Siesta M22 Linho Cru/marrom - Mpozenato";500,00;11964,36;8733,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";278427254;SKU_660089343;7908816343973;"Sofá Ilha e Puff Sala Living 505cm Siesta M22 Linho Cru/marrom - Mpozenato";250,00;22371,27;16330,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";891163852;SKU_660089319;7908816343850;"Sofá Ilha e Puff Sala Living 465cm Siesta M22 Linho Cru/marrom - Mpozenato";250,00;21479,72;15679,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";803515628;SKU_660089335;7908816343935;"Sofá Ilha e Puff Sala Living 395cm Siesta M22 Linho Cru/marrom - Mpozenato";333,00;17390,70;12694,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";963379445;SKU_660089311;7908816343812;"Sofá Ilha e Puff Sala Living 365cm Siesta M22 Linho Cru/marrom - Mpozenato";333,00;16722,04;12206,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";960081604;SKU_660089279;7908816343652;"Sofá Ilha e Puff Sala Living 245cm Siesta M22 Linho Cru/marrom - Mpozenato";500,00;11452,55;8359,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";349945135;SKU_660089253;7908816343249;"Sofá 3 Lugares Sala Estar Living 214cm Zaire M22 Linho Areia - Mpozenato";500,00;4361,43;3183,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";296812125;SKU_660089339;7908816343959;"Sofá Ilha e Puff Sala Living 505cm Siesta M22 Linho Areia - Mpozenato";250,00;22140,13;16161,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";193579286;SKU_660089307;7908816343799;"Sofá Ilha e Puff Sala Living 365cm Siesta M22 Linho Areia - Mpozenato";333,00;16523,92;12061,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
